route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
13,f20d040e-7d52-4006-8e3b-eb54285dbcdc,ae243eed-dbfb-4d7f-86a2-2f6e7afb2202,b60e3152-a76d-4f75-998c-5ccb6225d74b,to CityBus Center via Tipp Mall,0,df79e767-2a10-4ad0-9601-1891ac4cd99e
11,f20d040e-7d52-4006-8e3b-eb54285dbcdc,c8885436-b77f-482a-ba73-bb7c4a1ce5b5,a05e2688-6ec0-45d9-a447-37df08b14d0b,to Ivy Tech,1,39e95261-1d71-4db4-8d2e-b239b073eb14
21,f20d040e-7d52-4006-8e3b-eb54285dbcdc,c0b163e0-90b9-4faf-8011-1dbe3770ebfd,c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,to CityBus Center via Purdue Campus,1,ca841c44-cacf-4c88-adf0-da892045469d
12,f20d040e-7d52-4006-8e3b-eb54285dbcdc,5509b184-b2c2-41a0-b6a2-3ca6f70afbce,f25f38ba-f752-43fd-baec-05c57d7fd482,to Meijer east via Walmart,1,a6ccb65d-4a82-47d6-ba6d-5451b2d9a400
34,f20d040e-7d52-4006-8e3b-eb54285dbcdc,0a93107e-883a-4ffd-9022-74442888a701,dd423f77-d4ba-47f0-98c9-7d78e756d475,to Lafayette Square on Teal Road,0,f406263e-62e8-433b-9f24-2f44018ef882
43,f20d040e-7d52-4006-8e3b-eb54285dbcdc,5f1cf820-2586-464d-9575-4fd1d0929a67,96c76f87-236b-4d10-a004-d18116c5a5a0,to Roundtable Drive via Purdue Research Park,0,ca2cb390-5930-46fb-b877-86b490f3135c
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,03056202-9dbe-44af-919b-0a65fca83f66,afbfbe89-3824-47d8-a4f2-727023af88ac,to Purdue Campus and PMU,1,5818309a-373b-4404-8a4c-737fd4e5c894
36,f20d040e-7d52-4006-8e3b-eb54285dbcdc,6625fa71-4fbe-4033-a159-d8229f85f1e3,33064dc1-95a3-4a07-8352-58827f35895b,to Pay Less on Beck Lane 231 via Walmart on VMP,0,124a57b2-d559-49a6-8fd9-1225721dabfc
21,f20d040e-7d52-4006-8e3b-eb54285dbcdc,016243f9-9503-465a-9a79-7bcff3c0b33b,c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,to CityBus Center via Purdue Campus,1,b52740fd-ff47-44e9-98ea-5c088237ec3c
32,f20d040e-7d52-4006-8e3b-eb54285dbcdc,b5ac85dd-7ff3-45c4-878f-fa189499cb78,e5c0c034-1aae-426b-a8b7-3e19ad8540c5,to CityBus Center,1,014ced5c-205f-45c5-a389-8426a62fbe5b
22,f20d040e-7d52-4006-8e3b-eb54285dbcdc,a679d8ea-db0e-49bc-858b-6601676de11f,1f6ab1b9-203d-4800-9c2f-0575ebaff4a6,to CityBus Center,1,dc7c07fd-0ec6-4c1b-bdd5-fee562667929
41,f20d040e-7d52-4006-8e3b-eb54285dbcdc,e4e6f255-8edc-4b4c-9fa4-a80c502daa99,89055b80-8ef0-49cc-bbe3-6c7d5415021a,to Wabash Landing & Purdue Campus,1,f34eba3c-7029-4c54-920d-5fbd17e36fdc
34,f20d040e-7d52-4006-8e3b-eb54285dbcdc,2b1044b9-72bb-4923-8b4e-2ed205df8029,dd423f77-d4ba-47f0-98c9-7d78e756d475,to Lafayette Square on Teal Road,0,f406263e-62e8-433b-9f24-2f44018ef882
34,f20d040e-7d52-4006-8e3b-eb54285dbcdc,a9b3ece6-1f17-4f43-ba26-b31f34ba07a3,dd423f77-d4ba-47f0-98c9-7d78e756d475,to Lafayette Square on Teal Road,0,f406263e-62e8-433b-9f24-2f44018ef882
21,f20d040e-7d52-4006-8e3b-eb54285dbcdc,d36dfd6d-d358-46e1-a9e9-5589a8647a1e,c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,to CityBus Center via Purdue Campus,1,def6908e-7942-4e66-9161-07c47cc017e9
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,da68ca03-3638-49aa-9b5c-152077783a31,3fa1788a-9312-405f-9fad-405ff4e7cdb3,to River Rd & Kalberer Rd,0,5818309a-373b-4404-8a4c-737fd4e5c894
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,3446c62c-6e41-4555-976c-27d16ff26bb3,afbfbe89-3824-47d8-a4f2-727023af88ac,to Purdue Campus and PMU,1,5818309a-373b-4404-8a4c-737fd4e5c894
33,f20d040e-7d52-4006-8e3b-eb54285dbcdc,98d9fa68-5d10-41c8-87d1-114ae3d65dad,32580df6-cf1f-4b44-970a-3d33e8c7feff,to Earl Ave,0,a810487b-d698-4ac3-a285-4900861b7a4f
11,f20d040e-7d52-4006-8e3b-eb54285dbcdc,77b229e2-fa05-4fec-bd74-b6f722d1477f,a05e2688-6ec0-45d9-a447-37df08b14d0b,to Ivy Tech,1,30defa64-b914-40dd-8a31-c0afd045f064
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,aa43d8a5-8a7f-431f-8814-b7cb8f72a940,3fa1788a-9312-405f-9fad-405ff4e7cdb3,to River Rd & Kalberer Rd,0,b95efedc-9495-432e-8ed4-3ac799239e14
13,f20d040e-7d52-4006-8e3b-eb54285dbcdc,7aa0c05a-e6df-4e21-b72a-b6b6310b7894,f45e2fd4-e04e-476c-87ff-d079f18a5c71,to Ivy Tech via Tipp Mall,1,61a47732-9c89-4c55-bb67-7f659cd71dfe
41,f20d040e-7d52-4006-8e3b-eb54285dbcdc,586e0743-d8ea-49d6-95af-d4a7975c9374,89055b80-8ef0-49cc-bbe3-6c7d5415021a,to Wabash Landing & Purdue Campus,1,c9ce1103-bfaf-445e-96b8-8bd575266352
41,f20d040e-7d52-4006-8e3b-eb54285dbcdc,24c97885-b46d-4bc7-9e79-8eb07803b6a9,89055b80-8ef0-49cc-bbe3-6c7d5415021a,to Wabash Landing & Purdue Campus,1,f34eba3c-7029-4c54-920d-5fbd17e36fdc
34,f20d040e-7d52-4006-8e3b-eb54285dbcdc,2050bdf9-9b09-471c-ac7e-f98c5f46539e,002a917d-6cdc-46ab-bb61-4e54c64205ee,to CityBus Center,1,f406263e-62e8-433b-9f24-2f44018ef882
14,f20d040e-7d52-4006-8e3b-eb54285dbcdc,8358126d-afb4-45b7-bfd7-d2be68fd3499,0fd3c4b0-ae9d-40b2-a07c-715b3b3b553a,to Ivy Tech via Pay Less on Beck Lane,1,2295c0ba-8c9c-4251-8a4f-729694a51880
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,2bc531b8-6842-4a47-9bc3-3260b5af460b,afbfbe89-3824-47d8-a4f2-727023af88ac,to Purdue Campus and PMU,1,b95efedc-9495-432e-8ed4-3ac799239e14
42,f20d040e-7d52-4006-8e3b-eb54285dbcdc,bea293a5-1c2c-4ef5-a0e3-ff19e2ed0d0e,3fa1788a-9312-405f-9fad-405ff4e7cdb3,to River Rd & Kalberer Rd,0,b95efedc-9495-432e-8ed4-3ac799239e14
21,f20d040e-7d52-4006-8e3b-eb54285dbcdc,018b06b7-b09b-40b2-bfb8-b71b0a01f4b6,c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,to CityBus Center via Purdue Campus,1,b52740fd-ff47-44e9-98ea-5c088237ec3c
43,f20d040e-7d52-4006-8e3b-eb54285dbcdc,1f22598f-9ea3-4745-b203-35df2df6d795,0bb04145-d02a-46c3-a800-6d0d42233c5c,to Yeager Rd and Purdue,1,ca2cb390-5930-46fb-b877-86b490f3135c
22,f20d040e-7d52-4006-8e3b-eb54285dbcdc,61d08f9b-b118-42bf-86c0-08b59f841942,d556586f-5536-47a5-9e1f-9ad30028e9c9,to WL Walmart,0,dc7c07fd-0ec6-4c1b-bdd5-fee562667929
12,f20d040e-7d52-4006-8e3b-eb54285dbcdc,a09c45fa-744c-44fa-822d-cdd183711278,01b692f1-d433-46dc-bbc7-f1ccd7a75e1d,to CityBus Center,0,9d5ecf81-4d91-4ef9-a8b5-d7b38e4c6f5d
13,f20d040e-7d52-4006-8e3b-eb54285dbcdc,8d1ea805-3c26-414c-879c-6f7f73d8fade,b60e3152-a76d-4f75-998c-5ccb6225d74b,to CityBus Center via Tipp Mall,0,df79e767-2a10-4ad0-9601-1891ac4cd99e
21,f20d040e-7d52-4006-8e3b-eb54285dbcdc,dc859136-6191-4c9a-8e4a-bb7b9223e060,e1d33256-6b3d-4dd2-9b32-5f76612e652a,to Walmart West via Purdue Campus,0,caf0585c-18f5-4eb9-bf5f-b3c0270a3db9
