route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21E,b2de3b5a-bea7-481a-98a5-c62b1807beca,7429a7a3-0380-4726-b10c-fcb74acafa59,42719558-c2a4-467d-8614-840defe90744,Express to Purdue Campus,1,4a20555b-2fba-499c-935e-718ff58fcb94
6A,87901baf-0994-499f-9975-63bb8fb0199c,0ba74fa0-39f0-45a5-a95c-7d0138dd3eeb,f71ad2a5-ff13-4379-adc1-e257c3e59f53,to Veterans Memorial Pkwy S / Walmart,0,cafd5b82-2002-4b8b-a20a-9c48aa1c3088
1B,c3b47a3f-853b-4e8f-8f8f-36a78b536dce,4cb3f2ca-07f4-4f6e-b972-f45d079d6cc8,716a1134-702e-43b2-8984-fd6f12a926a3,to CityBus Center,1,8a12c71d-3199-459c-9093-a70f92dce1db
4B,87901baf-0994-499f-9975-63bb8fb0199c,b276cc68-6bcb-4d32-aec2-9f090eabfb54,7218f1c2-a821-475e-840c-a049d1a625b1,to Campus & CityBus Center,1,238e89ef-d5be-4696-aac5-8ce39642daf1
2A,8412ba33-64c1-4466-b8ba-7a5056f942ea,71f13f56-d7f8-4d1e-ace7-118fa53a9a35,ae80f7da-68bb-4e11-82d9-4e434fd30733,to Schuyler Ave,1,899fa948-832e-4166-ab46-27691685781c
7,b2de3b5a-bea7-481a-98a5-c62b1807beca,8e473d76-2c8a-4420-aca4-182e64ea4d35,62c1143c-029a-4b43-9f4f-6d6f9c55bc76,to Walmart & Meijer,1,fed23068-e31d-49d8-87bf-41f597e7bcf4
8,31a67940-5b0a-493e-b9e2-9b93b15ff59a,a41fccd3-02f2-405c-a0d9-842cd36fb631,ff80a8f5-2afb-449a-8e43-76f253357b41,to Klondike Rd and Rutherford Dr,0,4b7e47a7-c3d9-4059-8d61-54ceced110d0
2A,9b84fbdb-8987-48b3-b034-b765a4d36474,fd2fefad-fc01-4f67-97dd-1f6c7d1b36f9,f42d1f15-dd59-4025-b28f-99a130b2d962,to CityBus Center,0,d3673445-822c-4d0d-8da7-acced4b2b369
16C,b2de3b5a-bea7-481a-98a5-c62b1807beca,85299361-c16d-497a-a481-3a23d5d63849,5001d1c6-c1ea-4d03-b8eb-45705b3c0f70,to Purdue Airport,0,71ee422f-5141-41f7-81a3-eaac8d4c263c
2B,9b84fbdb-8987-48b3-b034-b765a4d36474,1ba01720-9fa2-4e46-b504-0c43d0cfe5ad,33ace3e0-53ff-4dc0-a898-bd50817a1644,to CityBus Center,1,d3673445-822c-4d0d-8da7-acced4b2b369
1B,31a67940-5b0a-493e-b9e2-9b93b15ff59a,c0d0d4ab-368c-47f9-9551-6bd6d27db849,3c435a70-bd1f-4d17-86ca-139de51f22c9,to CityBus Center,1,8b7796da-0a70-4d85-b623-948d30d2efd1
8,c3b47a3f-853b-4e8f-8f8f-36a78b536dce,2c6addb3-f8aa-4e37-998d-e6d5e217c25f,ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,to WL Walmart,1,b42bf592-da76-4c0b-8bed-8e7a6402e8f7
