month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
jan2024,1A,Market Square,17775,14150.47,1052.4,1.26,8.79%,16.89,0.95%
jan2024,1B,Salisbury,35307,10115.93,849.23,3.49,15.36%,41.58,11.90%
jan2024,2A,Schuyler Ave,5213,3745.4,301.19,1.39,-10.75%,17.31,0.96%
jan2024,2B,Union St,5578,3747.99,332.92,1.49,2.39%,16.75,2.89%
jan2024,3,Lafayette Square,11345,10997.04,752.45,1.03,26.54%,15.08,4.32%
jan2024,4A,Tippecanoe Mall,10543,6461.02,613.0,1.63,3.24%,17.2,-0.57%
jan2024,4B,Purdue West,101945,11608.42,876.58,8.78,94.45%,116.3,-3.32%
jan2024,5,Happy Hollow,19357,7485.3,494.5,2.59,29.18%,39.14,2.65%
jan2024,6A,Fourth St,13902,11847.57,737.22,1.17,6.01%,18.86,4.14%
jan2024,6B,South 9th,4453,4718.89,337.5,0.94,0.12%,13.19,-3.32%
jan2024,7,South St,15568,9401.19,781.01,1.66,0.53%,19.93,-2.46%
jan2024,8,Klondike Express,9183,7294.44,489.15,1.26,-6.90%,18.77,2.58%
jan2024,9,Park East,2180,4502.84,304.35,0.48,-7.80%,7.16,-1.96%
jan2024,10,Northwestern,28997,6682.27,565.3,4.34,19.22%,51.29,7.81%
jan2024,23,Connector,27783,8656.93,721.04,3.21,33.88%,38.53,42.75%
jan2024,Others,Others,87,,,,,,
jan2024,,,,,,,31.15%,33.58,4.35%
jan2024,13,Silver Loop,72551,3791.99,561.09,19.13,6.27%,129.3,6.92%
jan2024,14,Black Loop,3376,963.9,101.81,3.5,N/A,33.16,N/A
jan2024,15,Tower Acres,39422,4295.98,560.35,9.18,N/A,70.35,N/A
jan2024,20,South Campus Loop,1630,1460.19,184.61,1.12,-15.55%,8.83,-48.09%
jan2024,28,Gold Loop,26694,3106.33,389.52,8.59,60.07%,68.53,-11.51%
jan2024,,,,,,,-11.90%,57.53,-35.28%
jan2024,21A,Lark & Alight,18000,5411.24,394.94,3.33,-15.04%,45.58,0.86%
jan2024,24,Redpoint,7622,3366.28,199.66,2.26,93.84%,38.17,-6.42%
jan2024,35,Lindberg Express,33547,6675.27,547.15,5.03,-29.46%,61.31,7.93%
jan2024,,,,,,,-15.05%,51.82,2.68%
jan2024,DR,ACCESS/FLEX,2961,14335.82,1108.51,0.21,-2.91%,2.67,0.31%
jan2024,Demand Response Total:,,"2,961 14,335.82 1,108.51 1,108.51",,,,-2.91%,2.67,0.31%
feb2024,1A,Market Square,20651.0,13732.86,1024.82,1.5,35.26%,20.15,4.96%
feb2024,1B,Salisbury,39215.0,9824.98,828.68,3.99,13.27%,47.32,18.00%
feb2024,2A,Schuyler Ave,5454.0,3696.81,301.47,1.48,16.24%,18.09,6.05%
feb2024,2B,Union St,6108.0,3699.91,324.36,1.65,3.51%,18.83,5.13%
feb2024,3,Lafayette Square,15224.0,10851.35,746.36,1.4,40.07%,20.4,8.22%
feb2024,4A,Tippecanoe Mall,11058.0,6279.75,599.19,1.76,8.40%,18.45,4.84%
feb2024,4B,Purdue West,92811.0,11454.14,861.08,8.1,54.86%,107.78,1.44%
feb2024,5,Happy Hollow,21051.0,8439.1,551.85,2.49,7.77%,38.15,8.43%
feb2024,6A,Fourth St,15437.0,11481.15,723.87,1.34,12.28%,21.33,9.34%
feb2024,6B,South 9th,4711.0,4456.14,319.79,1.06,-0.58%,14.73,-1.33%
feb2024,7,South St,19709.0,9097.7,760.68,2.17,15.52%,25.91,4.64%
feb2024,8,Klondike Express,8392.0,7043.89,474.75,1.19,-12.12%,17.68,5.82%
feb2024,9,Park East,2463.0,4501.54,304.84,0.55,5.92%,8.08,3.82%
feb2024,10,Northwestern,28719.0,7257.25,612.23,3.96,-2.04%,46.91,13.16%
feb2024,23,Connector,28464.0,8851.71,739.62,3.22,7.39%,38.48,59.42%
feb2024,Others,Others,184.0,,,,N/A,,N/A
feb2024,,,,,,,21.70%,34.84,9.85%
feb2024,13,Silver Loop,68441.0,4647.2,673.44,14.73,-16.89%,101.63,3.69%
feb2024,14,Black Loop,3354.0,1140.86,119.42,2.94,N/A,28.09,N/A
